Drug1,Drug2,Cell_Line,Tissue,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,BIRRA,RRA
Cisplatin,Vorinostat,AU565,breast,5459,12649,13053,12821,13053,7765,10108,5023,5459,5319,4811
Cisplatin,Vorinostat,BT.549,breast,14309,1631,2890,2358,2890,13951,18161,14059,14309,14301,18470
Cisplatin,Vorinostat,CAL.120,breast,10590,6406,7533,6914,7533,11336,17120,10015,10590,10104,18468
Cisplatin,Vorinostat,CAL.51,breast,1026,17584,17652,17589,17652,6139,1039,926,1026,990,740
Cisplatin,Vorinostat,CAMA.1,breast,7432,10046,10850,10389,10850,8809,14072,6874,7432,7171,7656
Cisplatin,Vorinostat,COLO.824,breast,10392,7087,8377,7517,8377,11023,16742,11132,10392,10044,9778
Cisplatin,Vorinostat,DU.4475,breast,1525,16949,17019,16993,17019,6262,1978,1652,1525,983,857
Cisplatin,Vorinostat,EFM.19,breast,13140,4868,6547,5132,6547,13677,17473,13274,13140,12219,18466
Cisplatin,Vorinostat,EVSA.T,breast,3043,15331,15501,15392,15501,6802,4331,2920,3043,2842,2677
Cisplatin,Vorinostat,HCC1143,breast,8338,9591,10506,9888,10506,9576,14576,8458,8338,8146,9015
Cisplatin,Vorinostat,HCC1187,breast,2828,15876,16062,15886,16062,6763,3451,2334,2828,2432,2763
Cisplatin,Vorinostat,HCC1395,breast,8112,10156,10894,10383,10894,9572,14060,7839,8112,7069,9267
Cisplatin,Vorinostat,HCC1419,breast,9801,7081,8301,7607,8301,10442,16815,8985,9801,9675,9263
Cisplatin,Vorinostat,HCC1428,breast,9589,9275,10426,9492,10426,11064,14861,9144,9589,8664,18464
Cisplatin,Vorinostat,HCC1806,breast,4122,14617,14878,14651,14878,7582,5488,4345,4122,3906,4428
Cisplatin,Vorinostat,HCC1937,breast,4684,14205,14567,14217,14567,7681,6332,4347,4684,4381,6259
Cisplatin,Vorinostat,HCC1954,breast,14645,2390,3765,2870,3765,15112,18030,15073,14645,14154,18463
Cisplatin,Vorinostat,HCC202,breast,14916,1085,2480,1902,2480,14866,18218,14327,14916,14842,18461
Cisplatin,Vorinostat,HCC38,breast,6990,10814,11391,11063,11391,8626,13304,6496,6990,6939,7000
Cisplatin,Vorinostat,HCC70,breast,3638,15018,15231,15049,15231,7206,4964,3093,3638,3198,4790
Cisplatin,Vorinostat,Hs.578.T,breast,4460,13742,14079,13829,14079,7373,7399,4457,4460,4177,3991
Cisplatin,Vorinostat,JIMT.1,breast,4260,14705,14984,14710,14984,7517,5326,3858,4260,4192,5252
Cisplatin,Vorinostat,MCF7,breast,10532,6392,7619,6919,7619,11149,17063,9819,10532,10559,10651
Cisplatin,Vorinostat,MDA.MB.157,breast,11025,6719,7952,7108,7952,11857,16906,11107,11025,10508,18459
Cisplatin,Vorinostat,MDA.MB.231,breast,5342,12390,12775,12624,12775,7741,10581,4171,5342,5834,5024
Cisplatin,Vorinostat,MDA.MB.361,breast,11662,7037,8481,7328,8481,13357,16699,11901,11662,11055,18457
Cisplatin,Vorinostat,MDA.MB.415,breast,6230,13150,13615,13146,13615,8787,8761,5755,6230,5667,9049
Cisplatin,Vorinostat,MDA.MB.436,breast,13313,3804,5158,4233,5158,13722,17869,13381,13313,13234,18455
