Drug1,Drug2,Cell_Line,Tissue,Synergy,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5
5-Fluorouracil,915019-65-7,MDA.MB.436,breast,4.29413387,8.553199,9.656923,9.892199,8.980096,10.241964,6.127492,7.403949,8.976062,8.418761,6.255761,5.592753,4.8422227,6.6897182,9.56938,6.5051994,6.7037854,5.645373,9.1312,8.649933,9.422822,7.9350247,9.061152,7.021099,3.7384188,7.698451
5-Fluorouracil,Bortezomib,MDA.MB.436,breast,-4.364524014,-0.42377043,-4.2528524,-5.0864844,-2.6881607,-2.225058,-6.4838147,-2.05062,-2.989639,-2.5191991,-1.6556234,0.6598709,-0.88901263,-0.77109575,-0.9429531,-4.4326453,-2.4232063,-2.3562634,-3.9116683,-2.0362096,-2.5888066,-3.1472998,-4.171982,-1.382993,-3.0746574,-0.28384382
Veliparib,Dinaciclib,MDA.MB.436,breast,-0.442550226,1.601594,-4.6587048,-2.9397776,2.14464,-1.8098032,1.7510682,1.5932537,-1.6795081,-0.34241518,-1.0822881,0.3401028,2.2398875,3.3416224,-1.4749538,2.4014544,1.9578897,-0.41855922,4.102827,1.2231973,1.7939032,5.130045,3.8226526,-0.315811,1.0938737,-2.5292187
Veliparib,geldanamycin,MDA.MB.436,breast,4.360697131,-6.09E-05,-1.9918085,-2.5288832,0.45000172,0.69318587,2.2119372,2.1056151,-0.2641316,2.2315798,2.6987374,3.5202732,2.0134516,-0.008445434,1.3808964,1.2073643,2.7292411,4.1351724,1.589752,1.8340263,-3.7862222,0.81104326,1.2920638,2.1452718,3.0036871,0.30717194
Veliparib,topotecan,MDA.MB.436,breast,-1.96915814,6.079612,5.6515346,7.5440454,-0.68378526,8.37588,2.4537723,5.714355,2.5276673,4.7094145,0.5267051,4.780819,5.8225093,1.6540283,1.6198746,2.5958097,7.6338854,10.584072,7.153817,5.886733,-0.7041364,5.2522793,3.539673,4.435772,4.310525,5.1391654
MK-1775,Dinaciclib,MDA.MB.436,breast,-3.163659594,-1.9771775,0.21220042,-1.7168772,-1.3060324,0.3621384,-2.2775466,-0.084950045,-0.9341713,0.31412894,-0.51247454,-1.0580262,-0.39977202,-1.4725138,2.9252405,1.1510181,0.057372108,-0.8145031,0.8017704,-0.6741228,-1.5141971,0.3137436,-1.6514769,0.711913,0.7195082,-1.5428802
MK-1775,Lapatinib,MDA.MB.436,breast,-1.45929928,-5.3532844,-4.6730413,-3.5955968,-1.7230265,-0.27947816,-1.8121668,-2.0508208,-5.943159,-1.524274,-2.4678364,-0.52771527,0.33440483,-3.6820874,1.7729568,1.0658362,-1.00983,-0.78102505,-6.7114735,-2.7647657,-4.1478944,-6.9550567,4.254007,-1.0686152,-1.244721,-1.2117538
MK-1775,Deforolimus,MDA.MB.436,breast,9.085688825,5.490118,9.296439,4.5890636,8.333957,11.593085,7.3518214,8.336172,7.9300537,11.431912,11.931553,7.5925083,8.9055,9.862406,10.94748,6.4451046,8.462686,7.6315117,7.1071467,9.4461355,7.124752,5.36757,5.488678,9.4810915,8.542751,8.654059
MK-1775,391210-10-9,MDA.MB.436,breast,5.536762379,1.9745575,-0.87264425,2.1055965,4.8734345,4.3187366,-1.6884509,6.276339,1.4790899,1.4909892,7.050977,-0.8030707,1.1131922,3.8086543,2.6319265,1.4279525,3.566802,2.416522,2.0026228,3.3659835,3.411068,1.4327476,-1.177385,-0.2668977,2.470862,-2.812269
915019-65-7,Sorafenib,MDA.MB.436,breast,2.893190628,-4.7478156,-1.6308229,-5.865081,-5.629613,-4.394303,-3.7345042,-5.6804338,-6.214274,-0.74366623,0.61071855,2.346226,-9.937398,-0.5962542,-1.2529026,-5.285776,-0.953241,-4.3611455,-5.885189,-0.4799364,-1.0014555,1.1260097,-0.32574308,-1.0750693,-1.3156345,-3.3219893
Bortezomib,Veliparib,MDA.MB.436,breast,0.084342475,0.9123521,-6.8469505,-4.0423813,-3.2263532,-2.9629302,-0.5836285,0.6941869,0.4766597,1.7222592,-1.0397316,-5.0051446,2.436517,1.0714726,-2.1267939,-2.1162844,-3.9353333,-4.996467,-2.7954888,-2.7660325,-5.894612,-6.675164,1.5589781,0.0555749,-0.39235088,-1.8353046
Bortezomib,891494-63-6,MDA.MB.436,breast,-5.403803973,2.6226878,-0.8725604,4.647367,-3.987417,1.3492668,0.31732023,-0.8135933,-1.5290843,-1.5393527,-2.6008558,-1.9487299,2.888092,1.363406,-0.14514089,-1.000356,0.3195425,-4.2137637,-0.2869224,2.3285503,4.3223777,1.5960563,-6.2890635,-6.637466,-0.011094175,2.90736
Carboplatinum,MK-2206,MDA.MB.436,breast,5.153188936,2.5694509,-0.39581335,2.6358166,2.0990849,-1.703898,1.606179,4.7157297,1.2348503,-1.2049438,2.3218298,2.0410824,-1.4991883,-0.057626355,-2.0164356,-1.5120709,3.5019243,3.855749,-1.5915643,-2.112774,2.1512399,3.6591392,0.8165086,-9.662018,-1.621902,-1.0183282
Carboplatinum,Deforolimus,MDA.MB.436,breast,7.594058043,2.3972237,3.962382,3.054254,0.58257836,-0.38384464,0.121995606,-4.0042257,3.2869055,2.110375,-0.29420692,-1.3873785,3.5959842,1.8176522,1.9329656,-0.04423657,-1.1648303,0.3297225,-4.565001,0.8793403,6.3396306,5.6495404,2.3528125,-4.0388923,-1.3910203,4.6360064
Carboplatinum,Sorafenib,MDA.MB.436,breast,-18.58252843,-5.847914,-5.8658113,-5.0542517,-2.6901126,-11.315869,-3.2744453,-4.0719857,-5.125253,-3.5978568,-2.6533313,1.2240736,-5.5186825,-7.2842836,-6.785717,-3.945423,-3.539292,-0.64794064,-6.221575,-8.934179,-3.9022198,0.2838529,-1.4624223,-2.8487735,-2.826361,-9.842735
Carboplatinum,Vorinostat,MDA.MB.436,breast,1.414929602,1.0332614,-0.110741004,-4.3963614,1.9832797,-4.820821,-4.373164,-5.339292,0.31071922,2.9576108,0.3572502,0.7739868,3.9922316,-1.2886937,-1.1704787,-3.2183125,-3.6755116,0.90459764,3.0692654,2.1840343,4.2890487,2.1638405,-2.8090909,-5.3106675,-2.6376796,-0.5446634
