Drug1,Drug2,Cell_Line,Tissue,Synergy,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5
5-Fluorouracil,Dasatinib,MDA.MB.436,breast,2.809605168,6.0733585,4.0303235,6.473842,7.1138253,4.4592986,1.0710716,2.2552786,2.5067747,-0.18840358,-2.4588,-3.9147592,-0.559694,-1.6360424,5.401894,4.2876425,0.44796062,2.696934,0.42833072,2.095216,0.98416024,-2.6695359,3.4215648,-2.1653552,0.3800701,-0.63173705
5-Fluorouracil,Dinaciclib,MDA.MB.436,breast,-3.674994373,1.337733,-0.649996,-0.77071476,-0.20237073,-1.0851458,-1.1988728,-2.877191,-1.7529587,-2.0431895,-0.19995528,4.1995006,-4.732721,-1.6461923,1.218033,-1.863281,-1.1014912,-0.52673763,-0.60551417,-6.0921774,-0.9363527,-1.63186,-0.7553964,3.3021107,-1.2901453,-0.04733546
5-Fluorouracil,MK-5108,MDA.MB.436,breast,-2.139945328,0.18630688,-3.0965977,-0.73131263,0.19928275,-0.63848394,-4.276886,-2.9985852,-3.1378624,-0.9363014,1.934352,-3.8462968,-3.9697177,4.8990593,3.2837393,-2.598944,0.7004642,-3.2981393,-4.494597,-1.1051369,-0.75303966,-1.3031934,-1.3722254,-4.0054545,-2.7862191,2.243777
5-Fluorouracil,Deforolimus,MDA.MB.436,breast,4.62196428,5.2562113,7.510824,6.461302,6.2223787,5.693231,1.9476874,6.161986,0.8709046,6.100289,6.050203,5.259324,1.8412797,6.0449653,5.1494007,3.0577972,4.8083496,6.0532436,7.5981655,3.0730987,6.902258,2.3061886,3.789143,4.15835,7.200179,4.2107663
5-Fluorouracil,Vorinostat,MDA.MB.436,breast,-0.170990874,3.1861932,2.045231,1.0825322,2.6768272,2.2671258,-1.4029044,-1.1680629,-1.5515323,-0.4609044,2.1748953,3.8916266,-0.63130534,1.8651407,5.675126,-2.626017,2.4412577,1.0596825,-0.30969918,-1.808024,3.7958543,-1.059016,0.46341056,-0.15388781,1.8046482,3.3465497
Veliparib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,8.208191865,3.996905,3.6265852,0.9513183,4.73314,-0.23682788,2.2792745,2.9843144,-0.3065731,-1.0076622,2.4241228,6.0684357,-2.143735,0.9666582,2.1975715,3.1662874,0.9393117,3.5548172,5.351472,2.23209,4.954599,1.3983942,3.1473222,-1.3868604,4.561865,-1.3247164
Veliparib,Sorafenib,MDA.MB.436,breast,-9.392445016,-3.4948924,3.4559486,-1.5134819,-1.6539142,-2.696775,-6.356675,-4.3312316,-6.36649,-3.7197847,-9.222912,2.7339683,-5.8414927,-6.082596,-7.291073,-4.107618,-5.5024133,-1.5287752,-3.9966037,0.21961057,-0.2764317,-9.470127,-4.026616,-3.1301022,-1.8712058,-19.299227
MK-1775,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,2.106603523,5.0641117,6.6258264,4.7555475,1.9778917,5.0470357,7.7158084,2.8240776,3.2550948,3.1001143,3.4942176,3.559116,3.4583094,5.541183,1.9674548,4.212132,3.6045918,3.3329077,6.0468884,5.807956,6.1365733,6.405163,3.4839756,0.43583998,2.9708543,4.0576706
MK-1775,Sorafenib,MDA.MB.436,breast,-10.18756589,-6.0166783,-3.7416058,-4.708669,-0.15951051,-6.3410044,-2.0140738,-9.432997,-11.041789,-4.698858,-10.91256,-0.09789092,-4.7092514,-6.4832497,-3.861105,-6.216306,-10.491616,-5.587415,-8.426564,-9.202363,-6.660989,-9.607672,-4.6321573,-5.274381,-6.719324,-2.4840746
915019-65-7,Dinaciclib,MDA.MB.436,breast,3.025428856,1.6521343,1.5559244,2.8552861,1.5271301,1.2645377,4.2993336,2.2897906,1.3846829,1.1135685,-1.5480343,3.5901601,1.1625125,2.5970047,4.0902457,1.4034942,2.2916362,1.0525684,0.9787565,2.8747466,2.2368896,-0.2733616,0.8052644,0.9318763,2.4124584,1.7014238
915019-65-7,891494-63-6,MDA.MB.436,breast,10.43629524,6.246376,9.9778385,8.360833,4.3453593,9.023764,8.830544,12.813195,10.308994,10.143698,11.4314165,6.792023,8.780675,7.7476034,10.761128,5.5172305,1.9973732,7.2440176,7.8962336,8.9516,9.224574,9.071213,12.031861,3.8866463,8.640515,6.265588
Bortezomib,geldanamycin,MDA.MB.436,breast,-1.506372627,0.3167655,-2.913308,-3.5724912,-3.2308779,-2.3972056,-3.6584756,-3.3710988,-3.152651,-2.5158591,-3.327973,-4.3189316,-0.8087187,-2.6928265,-0.8775488,-3.774228,-4.0943995,-3.0076785,-4.589956,-3.3215575,-3.0836082,-3.6354525,-3.8651187,-2.9382021,-3.0697927,-3.9194047
Bortezomib,Sorafenib,MDA.MB.436,breast,-14.52494633,-7.97311,-8.762764,-7.33658,-8.16765,-8.68465,-15.259047,-10.321271,-8.837188,-7.928648,-6.967551,-5.2659545,-11.772667,-8.006976,-9.812756,-8.239326,-9.450849,-7.5345182,-9.606088,-9.001104,-13.26724,-12.531751,-10.375608,-4.7867494,-10.863144,-10.534737
Carboplatinum,Veliparib,MDA.MB.436,breast,2.543900933,-7.3268285,-4.3074164,-4.8055515,2.0163062,-1.5360115,-3.1494708,-4.028838,6.1577015,0.93734396,-5.3272347,4.542123,-7.7939143,-2.2937074,2.497613,-2.0917714,-4.8917747,-0.053045526,-4.790927,-5.195802,-0.9505326,3.8763216,2.7714796,0.24290523,-7.3409243,1.0653098
Carboplatinum,391210-10-9,MDA.MB.436,breast,3.061773657,2.4477074,2.1885428,5.357237,1.1480784,4.9242597,8.53049,3.2612486,7.161284,6.620804,3.0873039,-1.1225727,1.8065599,3.5507035,7.1314216,1.4107281,6.8159027,2.135478,3.4003131,4.289042,2.1807184,6.280719,7.473091,5.675959,8.303285,5.299646
cyclophosphamide,MK-1775,MDA.MB.436,breast,-58.57482757,-33.283905,-33.81718,-37.65868,-41.167057,-35.08677,-45.46553,-28.769,-34.83038,-43.182568,-39.06584,-32.04493,-22.55791,-42.093193,-31.936794,-32.646503,-30.651628,-25.681534,-26.10041,-43.541843,-33.110752,-31.814207,-40.01303,-43.264145,-25.097895,-24.70003
cyclophosphamide,915019-65-7,MDA.MB.436,breast,-20.81197948,-14.659496,-10.707084,-4.109966,-17.041798,-11.673338,-18.842758,-21.043865,-23.641901,-11.813109,-18.5066,-17.638844,-15.403241,-19.210968,-3.380408,-20.989815,-15.622035,-13.770748,-19.304432,-17.97477,-13.018017,-26.23826,-27.341629,-23.223425,-18.015915,-17.013302
