Drug1,Drug2,Cell_Line,Tissue,SynergyRank,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,RankBoost,BIRRA,RRA
5-Fluorouracil,MK-1775,MDA.MB.436,breast,223.5,1.5668426,4.958375,1.7091361,4.9414196,1.5818657,-0.24585253,6.6267486,3.2851822,6.320908,3.3404312,3.9800081,-2.1854393,5.255064,4.5047455,6.1678257,3.1595588,2.4503675,3.2572181,0.45317617,-0.052845392,0.65565103,3.2218542,1.8978018,-2.217247,1.8869128,1779,1627,1810,1698,1810,1627,1624,1713,1779,1801,1768,1770
5-Fluorouracil,Niraparib,MDA.MB.436,breast,2451.5,7.0032034,3.264892,3.947103,5.3923855,5.6991878,1.4154061,3.3063977,2.912227,1.8358384,4.478472,-0.03976701,-0.72213,0.4433204,2.4315484,-0.5285424,2.1626024,0.3905716,2.087499,6.723645,1.0183413,2.0694327,4.422595,2.3640404,4.0404797,2.1456802,1741,1574,1757,1635,1757,1574,1571,1875,1741,1768,1805,1344
5-Fluorouracil,temozolomide,MDA.MB.436,breast,4419.5,-13.340614,-16.019932,-15.905917,-14.194146,-7.9205666,-13.71923,-14.799485,-14.277768,-14.295659,-2.2695854,-9.075125,-9.331007,-13.5209875,-5.972252,-16.683336,-10.980716,-8.394294,-9.995354,-14.973252,-13.363275,-6.7114387,-16.461828,-13.999706,-15.337323,-7.6780386,4900,4773,4846,4823,4846,4773,4770,4938,4900,4845,4924,4945
Veliparib,915019-65-7,MDA.MB.436,breast,697.5,5.0937476,1.3651538,3.85084,7.6075015,4.2601857,5.8020716,7.174153,4.8484282,2.9726992,4.5212226,3.7771673,6.6742096,4.5385823,2.7704945,2.8139725,4.6308575,3.2060034,2.0048661,6.8489723,6.443734,6.26245,4.137185,-3.6918979,0.15738437,4.9516273,1240,1162,1271,1196,1271,1162,1152,1261,1240,1278,1343,1282
Veliparib,891494-63-6,MDA.MB.436,breast,2525.5,2.4998987,-5.580117,-3.8726797,-4.165144,5.1817226,4.4118137,5.7951517,2.7594614,3.2827163,4.7550535,1.953676,-0.84481865,1.5722641,-0.3662982,3.0755985,-5.957222,1.7648927,0.74157834,-1.9659848,-1.1612444,4.4127436,3.4050515,5.5699286,10.08794,3.846293,2156,2537,2171,2313,2171,2537,2497,1966,2156,2155,2105,2966
MK-1775,915019-65-7,MDA.MB.436,breast,267.5,9.726823,10.49879,10.347718,12.028376,12.149399,11.670197,6.3160324,12.813365,8.74371,9.962883,5.669385,11.1728325,13.3374605,7.382647,11.625049,14.488353,12.356324,10.378468,6.4362106,7.829358,10.832936,11.303276,6.0293913,10.092739,11.163183,136,129,158,135,158,129,133,125,136,159,1,148
MK-1775,Erlotinib,MDA.MB.436,breast,2189.5,1.7374135,5.5312967,4.6751394,6.9796896,10.222448,7.6495194,6.5229616,2.7799084,9.105372,-2.9278517,4.949631,3.7096252,5.3420687,-0.06912677,1.3128681,2.7242906,6.6498303,4.9205313,2.1377578,3.7584834,3.1357715,8.158717,1.9115418,1.7051963,5.0483365,1225,1362,1215,1269,1215,1362,1349,1144,1225,1207,1027,1431
MK-1775,topotecan,MDA.MB.436,breast,2699.5,0.59492856,2.803869,6.4328775,4.480527,5.3457665,3.9310448,6.206018,2.0031383,4.0478106,2.8228102,3.0063837,4.9725246,1.3243748,1.7915112,5.1506505,5.4254313,1.3991508,5.085764,9.091677,0.8364237,5.5304146,5.2864842,7.339706,3.2860057,6.381503,1233,1094,1256,1139,1256,1094,1084,1185,1233,1260,1188,985
915019-65-7,Eloxatin (TN),MDA.MB.436,breast,733.5,1.913468,0.69265443,1.7249151,-0.996251,0.06531207,1.2376618,-0.33417055,-1.1162546,4.480919,3.0909572,-3.4417439,-1.8078178,2.640591,0.061623204,0.92906004,-1.8210996,-1.6685581,-0.29770046,2.5907412,0.100206465,-0.9580788,-0.5620881,0.5723885,-0.11286662,-1.7863356,2768,2556,2697,2596,2697,2556,2543,2802,2768,2699,2746,2166
915019-65-7,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,863.5,9.4356365,7.290065,4.684166,6.885895,4.4326105,4.8610086,4.247677,7.9665723,4.3319464,7.4472847,7.7045937,7.4086523,8.189144,7.6810303,7.9272723,4.720041,5.664896,2.8992193,3.1900299,5.529151,6.9526515,8.0680685,2.786646,9.191923,3.5613508,621,494,678,568,678,494,507,641,621,686,679,434
Bortezomib,Dasatinib,MDA.MB.436,breast,3889.5,-8.071344,-9.472878,-9.560097,-5.92467,-4.3833966,1.1556526,-5.379063,-4.4769025,-8.907933,-7.6346655,-11.385827,-5.0780654,-6.8624034,-4.049678,-4.0556383,-4.900206,-6.079989,-11.84022,-5.891329,-3.3543916,-6.051511,-4.5881853,-4.2165213,-11.084137,-5.021182,4491,4314,4403,4388,4403,4314,4316,4318,4491,4400,4462,4034
Bortezomib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,breast,2633.5,-2.5877485,-3.5481215,-1.9027513,-2.8986733,-4.464611,-3.0136838,-5.360913,-3.6159332,-6.027031,-3.5719771,-3.7973077,-3.627366,-0.92620254,-2.0388393,-1.8741515,-1.4104941,-6.776105,-5.717363,-2.461498,-5.039864,-0.023205355,-4.0467906,-5.112773,-2.8196218,-4.377699,4045,3704,3880,3861,3880,3704,3705,3985,4045,3897,4067,3059
Bortezomib,topotecan,MDA.MB.436,breast,3467.5,-3.0691705,-4.371052,-1.8085529,-2.7744362,-4.345839,-3.909505,-4.1532917,-4.0841494,-5.225344,-2.8242557,-2.8544192,-4.406252,-1.1408906,-3.028649,-3.469191,-2.2678154,-6.3367476,-5.5773273,-1.5717089,-3.624833,-3.5540473,-4.611472,-2.35053,-2.519144,-0.98229146,4040,3668,3865,3838,3865,3668,3674,3928,4040,3875,4193,2933
Carboplatinum,MK-1775,MDA.MB.436,breast,1015.5,-8.861625,-0.12244943,3.306764,-0.91420597,-2.2032962,-9.834199,-2.3627365,-5.5198646,-0.98144346,-2.0854373,0.05251463,-0.15726818,-4.2933393,-10.289084,-4.0416007,-2.9146743,-5.6841526,-9.170742,-7.26781,0.56078035,-11.252822,-7.8856354,-9.334218,-5.7434344,-0.2340348,4017,4089,4071,4080,4071,4089,4090,4049,4017,4084,4009,4107
Carboplatinum,Dasatinib,MDA.MB.436,breast,1405.5,-4.146662,-3.8770413,4.6330633,4.69719,0.22178487,0.5480786,0.96512765,-0.86554044,2.4069297,-8.392488,-10.880484,3.1952865,-0.4346447,-0.088341,1.0164446,6.63515,0.1597463,-0.6115156,-0.2647986,-0.9005765,1.1082218,-5.0287356,0.91997313,0.72657835,0.42834586,2828,3216,2903,2951,2903,3216,3214,2705,2828,2899,2984,3738
Carboplatinum,Erlotinib,MDA.MB.436,breast,1949.5,-7.1651297,-5.8822374,-8.537231,0.4575184,-9.369553,-7.576832,-7.6628203,-0.12762578,-2.134418,-12.629262,-3.75059,-3.500167,-10.49315,-7.993037,-9.07178,-8.279396,-1.6022899,-5.9059787,-8.731729,-4.3771896,-9.91762,-11.085586,-11.858104,-4.8038435,-1.3640981,4458,4339,4427,4405,4427,4339,4342,4535,4458,4430,4452,4087
Carboplatinum,L-778123 free base,MDA.MB.436,breast,2541.5,4.3396864,5.0863705,4.336008,4.766383,-0.20972425,3.0817354,-1.4133955,6.464801,7.460758,1.7568163,3.7497585,9.635458,1.920284,1.3260813,3.8785589,1.2575012,2.618622,3.5324364,1.1037831,-0.48635882,1.8088348,4.375441,-4.3340836,6.7963114,-0.31476444,1720,1683,1678,1718,1678,1683,1669,1516,1720,1688,1710,1900
Carboplatinum,891494-63-6,MDA.MB.436,breast,907.5,4.449521,5.1178436,4.0761757,3.958363,1.4597535,-6.804402,-2.0738626,0.23319545,-1.0965006,6.6720233,0.19305532,-6.037506,-2.1133254,-2.7624364,0.22078872,-5.166087,0.79149854,-1.618459,1.9970398,2.4102917,-1.1194849,2.3011277,1.1315187,2.3025355,2.6513026,2611,2634,2603,2631,2603,2634,2647,2471,2611,2614,2491,2955
cyclophosphamide,Dinaciclib,MDA.MB.436,breast,5545.5,-35.072212,-39.20195,-37.872154,-38.345905,-48.011703,-28.766058,-29.158592,-37.55757,-34.302605,-23.744965,-41.50616,-38.35022,-31.960064,-31.06732,-34.58974,-40.635303,-41.75063,-42.040062,-32.77979,-21.76232,-30.958431,-39.16701,-27.359886,-34.807007,-38.974075,5555,5535,5559,5550,5559,5535,5533,5580,5555,5556,5256,5526
cyclophosphamide,MK-2206,MDA.MB.436,breast,4793.5,-19.293978,-22.73672,-20.582603,-12.676556,-17.20565,-17.04819,-12.200221,-12.874991,-17.432596,-19.194155,-18.881033,-18.499367,-9.314267,-16.382738,-1.681315,-13.527233,-16.256863,-10.88872,-6.832876,-14.244466,-9.406746,-14.509539,-10.747382,-14.646456,-20.079374,5008,4922,4975,4959,4975,4922,4927,5029,5008,4973,5040,5154
cyclophosphamide,Deforolimus,MDA.MB.436,breast,4551.5,-1.952218,-7.345151,-4.684188,-2.8679473,-5.485923,-4.014747,-11.714548,-3.2531602,-10.2824,-12.848124,-4.511568,-15.870341,-12.783799,-11.278072,-4.0687666,-11.746347,-10.338067,-3.238913,-6.579809,-8.286188,-3.3088658,-6.9015894,-8.891796,-9.04268,-11.220242,4619,4494,4553,4540,4553,4494,4493,4629,4619,4554,4666,4449
