Drug1,Drug2,Cell_Line,Tissue,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,BIRRA,RRA
Cisplatin,Docetaxel,AU565,breast,17161,510,1146,835,1146,17222,18893,16880,17161,16994,18996
Cisplatin,Docetaxel,BT.549,breast,18763,43,47,59,47,18576,18985,18476,18763,18846,18994
Cisplatin,Docetaxel,CAL.120,breast,17821,302,394,337,394,17864,18939,18135,17821,17606,18992
Cisplatin,Docetaxel,CAL.51,breast,12062,5939,7497,6525,7497,13375,17692,12472,12062,11747,18990
Cisplatin,Docetaxel,CAMA.1,breast,18248,179,192,193,192,17969,18958,17973,18248,18648,18988
Cisplatin,Docetaxel,COLO.824,breast,18841,37,42,54,42,18772,18983,18795,18841,18649,18986
Cisplatin,Docetaxel,DU.4475,breast,9103,8814,9923,9335,9923,10628,16550,9159,9103,8703,11593
Cisplatin,Docetaxel,EFM.19,breast,18986,3,3,3,3,18957,18994,18930,18986,18847,18984
Cisplatin,Docetaxel,EVSA.T,breast,15471,1518,2573,2061,2573,15547,18705,15138,15471,14341,18982
Cisplatin,Docetaxel,HCC1143,breast,18371,136,144,157,144,18205,18961,17929,18371,18650,18980
Cisplatin,Docetaxel,HCC1187,breast,16458,1125,2243,1641,2243,17114,18745,17551,16458,16044,18978
Cisplatin,Docetaxel,HCC1395,breast,18988,2,1,2,1,18975,18996,18978,18988,18848,18976
Cisplatin,Docetaxel,HCC1419,breast,18630,86,77,113,77,18532,18973,18451,18630,18651,18974
Cisplatin,Docetaxel,HCC1428,breast,18614,83,88,114,88,18514,18971,18525,18614,18652,18972
Cisplatin,Docetaxel,HCC1806,breast,18494,132,124,146,124,18415,18963,18464,18494,18398,18970
Cisplatin,Docetaxel,HCC1937,breast,17185,940,2005,1322,2005,17427,18804,17776,17185,16939,18968
Cisplatin,Docetaxel,HCC1954,breast,18904,13,22,25,22,18852,18986,18899,18904,18849,18966
Cisplatin,Docetaxel,HCC202,breast,18964,8,9,8,9,18917,18992,18906,18964,18850,18964
Cisplatin,Docetaxel,HCC38,breast,18111,205,217,219,217,18000,18948,17957,18111,18233,18962
Cisplatin,Docetaxel,HCC70,breast,18569,79,95,115,95,18322,18970,18058,18569,18851,18960
Cisplatin,Docetaxel,Hs.578.T,breast,17988,247,303,261,303,18036,18940,18162,17988,17834,18958
Cisplatin,Docetaxel,JIMT.1,breast,18726,51,59,67,59,18560,18975,18506,18726,18852,18956
Cisplatin,Docetaxel,MCF7,breast,15599,2768,4325,3012,4325,16109,18408,15456,15599,14685,18954
Cisplatin,Docetaxel,MDA.MB.157,breast,17934,245,340,260,340,17882,18936,18041,17934,18036,18952
Cisplatin,Docetaxel,MDA.MB.231,breast,17477,331,499,398,499,17254,18925,17274,17477,17649,18950
Cisplatin,Docetaxel,MDA.MB.361,breast,18917,11,15,19,15,18883,18981,18886,18917,18853,18948
Cisplatin,Docetaxel,MDA.MB.415,breast,18985,4,4,4,4,18958,18990,18926,18985,18854,18946
Cisplatin,Docetaxel,MDA.MB.436,breast,18859,20,23,38,23,18749,18977,18690,18859,18855,18944
Cisplatin,Docetaxel,MDA.MB.453,breast,17018,491,1120,827,1120,17229,18887,17605,17018,16637,18942
Cisplatin,Docetaxel,MDA.MB.468,breast,14284,2523,3516,3093,3516,14385,18523,13682,14284,14073,18940
Cisplatin,Docetaxel,MFM.223,breast,18974,7,7,7,7,18944,18988,18942,18974,18856,18938
Cisplatin,Docetaxel,OCUB.M,breast,17663,284,364,311,364,17561,18933,17498,17663,17336,18936
Cisplatin,Docetaxel,T47D,breast,18508,122,130,133,130,18374,18954,18319,18508,18399,18934
Cisplatin,Docetaxel,UACC.893,breast,15840,1019,1776,1616,1776,16079,18828,15992,15840,15792,18932
Cisplatin,SB216763,AU565,breast,11902,5705,7138,6229,7138,12390,17849,12192,11902,11749,18930
Cisplatin,Doramapimod,AU565,breast,6038,12738,13393,12932,13393,8315,10842,5709,6038,5439,6406
Cisplatin,SB216763,BT.549,breast,16848,459,879,770,879,16651,18898,16822,16848,17153,18928
Cisplatin,SB216763,CAL.120,breast,16521,601,1284,1056,1284,16379,18876,16709,16521,16695,18926
Cisplatin,SB216763,CAL.51,breast,8296,10991,11756,11188,11756,10348,14191,7849,8296,7549,11058
