Drug1,Drug2,Cell_Line,Tissue,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,BIRRA,RRA
Cisplatin,Navitoclax,MCF7,breast,4389,13893,14300,13994,14300,6884,6459,3897,4389,4184,5054
Cisplatin,Navitoclax,MDA.MB.157,breast,5607,12510,13075,12668,13075,7522,9525,5907,5607,5220,5181
Cisplatin,Navitoclax,MDA.MB.231,breast,763,18019,18037,18009,18037,5452,545,356,763,1041,464
Cisplatin,Navitoclax,MDA.MB.361,breast,2727,16429,16646,16390,16646,6325,2458,1688,2727,2737,3799
Cisplatin,Navitoclax,MDA.MB.415,breast,2394,16638,16817,16635,16817,6557,2188,2040,2394,2343,2463
Cisplatin,Navitoclax,MDA.MB.436,breast,14364,1503,3064,2222,3064,14502,18074,14130,14364,14190,18424
Cisplatin,Navitoclax,MDA.MB.453,breast,5170,13887,14376,13873,14376,7649,6337,4186,5170,5057,6365
Cisplatin,Navitoclax,MDA.MB.468,breast,2753,16019,16235,16026,16235,6165,2961,1905,2753,2453,3576
Cisplatin,Navitoclax,MFM.223,breast,1541,17327,17401,17315,17401,5779,1315,854,1541,1540,1686
Cisplatin,Navitoclax,OCUB.M,breast,3555,14499,14739,14631,14739,6294,5607,3499,3555,3614,3038
Cisplatin,Navitoclax,T47D,breast,3834,15494,15804,15401,15804,6872,3665,3605,3834,3548,5083
Cisplatin,Navitoclax,UACC.893,breast,2150,16641,16755,16643,16755,5865,2308,1775,2150,2106,2009
Cisplatin,Navitoclax,AU565,breast,6333,10883,11612,11187,11612,7756,12586,5749,6333,5879,5817
Cisplatin,Navitoclax,BT.549,breast,3292,15224,15504,15270,15504,6303,4274,3057,3292,2973,3548
Cisplatin,Navitoclax,CAL.120,breast,1678,17349,17394,17306,17394,5890,1340,1270,1678,1642,2062
Cisplatin,Navitoclax,CAL.51,breast,792,17884,17934,17876,17934,5426,641,456,792,701,602
Cisplatin,Navitoclax,CAMA.1,breast,3923,14536,14929,14625,14929,6664,5109,2855,3923,3188,4602
Cisplatin,Navitoclax,COLO.824,breast,1578,17267,17368,17264,17368,5784,1341,1063,1578,1643,1519
Cisplatin,Navitoclax,DU.4475,breast,332,18381,18381,18378,18381,5336,95,50,332,702,55
Cisplatin,Navitoclax,EFM.19,breast,887,17966,17967,17926,17967,5492,625,449,887,703,870
Cisplatin,Navitoclax,EVSA.T,breast,3101,15679,15922,15693,15922,6267,3485,3149,3101,3180,3710
Cisplatin,Navitoclax,HCC1143,breast,8303,9508,10490,9817,10490,9387,14505,8365,8303,7881,9330
Cisplatin,Navitoclax,HCC1187,breast,5633,12012,12560,12275,12560,7733,10684,4955,5633,5529,5720
Cisplatin,Navitoclax,HCC1395,breast,3239,15205,15487,15267,15487,6310,4269,2784,3239,2906,3291
Cisplatin,Navitoclax,HCC1419,breast,6807,11190,11806,11398,11806,8300,12350,6357,6807,6487,7249
Cisplatin,Navitoclax,HCC1428,breast,1321,17454,17530,17461,17530,5788,1136,724,1321,1219,1108
Cisplatin,Navitoclax,HCC1806,breast,3360,15651,15900,15662,15900,6736,3494,2915,3360,2784,4065
Cisplatin,Navitoclax,HCC1937,breast,813,17876,17910,17865,17910,5441,684,610,813,704,648
Cisplatin,Navitoclax,HCC1954,breast,6031,12522,13279,12648,13279,8667,8799,5130,6031,5673,7241
Cisplatin,Navitoclax,HCC202,breast,12793,3189,4912,3758,4912,12662,17747,12551,12793,12486,18422
Cisplatin,Navitoclax,HCC38,breast,1156,17573,17621,17568,17621,5569,1016,586,1156,1322,1349
Cisplatin,Navitoclax,HCC70,breast,1475,17459,17503,17426,17503,5737,1177,777,1475,1516,1831
Cisplatin,Navitoclax,Hs.578.T,breast,2008,16787,16891,16786,16891,5850,2050,1795,2008,1737,2070
Cisplatin,Navitoclax,JIMT.1,breast,718,18132,18125,18107,18125,5415,441,248,718,705,491
Cisplatin,AZD7762,AU565,breast,4062,16140,16379,16006,16379,7392,2742,1983,4062,3391,5235
Cisplatin,AZD7762,BT.549,breast,2697,16714,16868,16683,16868,6487,2066,1542,2697,2317,3424
Cisplatin,AZD7762,CAL.120,breast,5792,13805,14353,13811,14353,8982,6187,4646,5792,4515,7706
Cisplatin,AZD7762,CAL.51,breast,2614,15781,15949,15848,15949,6041,3431,2528,2614,2253,2608
Cisplatin,AZD7762,CAMA.1,breast,6512,13027,13723,12994,13723,8848,7437,7034,6512,5986,8996
Cisplatin,AZD7762,COLO.824,breast,4195,15939,16247,15852,16247,8143,2930,2316,4195,3506,5206
Cisplatin,AZD7762,DU.4475,breast,1283,17221,17326,17246,17326,5559,1389,1133,1283,706,986
Cisplatin,AZD7762,EFM.19,breast,3949,16458,16655,16293,16655,7602,2340,2556,3949,3425,6143
Cisplatin,AZD7762,EVSA.T,breast,2282,17237,17286,17161,17286,6264,1464,1394,2282,2263,2803
Cisplatin,AZD7762,HCC1143,breast,4232,15985,16241,15914,16241,7688,2946,2258,4232,3674,5238
Cisplatin,AZD7762,HCC1187,breast,2157,17558,17546,17480,17546,6800,1096,1147,2157,2289,2035
Cisplatin,AZD7762,HCC1395,breast,4962,14230,14689,14199,14689,7528,5519,4533,4962,4422,5746
Cisplatin,AZD7762,HCC1419,breast,11067,5128,7016,5948,7016,11796,17108,10110,11067,11045,18420
Cisplatin,AZD7762,HCC1428,breast,1654,17770,17775,17720,17775,6416,828,893,1654,1819,1794
Cisplatin,AZD7762,HCC1806,breast,1633,17578,17604,17528,17604,6114,1013,824,1633,2049,1807
Cisplatin,AZD7762,HCC1937,breast,3096,16119,16399,16101,16399,6500,2677,2424,3096,2987,4239
Cisplatin,AZD7762,HCC1954,breast,4041,16675,16859,16517,16859,9075,2071,2076,4041,3343,4836
Cisplatin,AZD7762,HCC202,breast,12361,4890,7091,5462,7091,13005,17128,12101,12361,11795,18418
Cisplatin,AZD7762,HCC38,breast,6641,12899,13615,12940,13615,9288,7624,5584,6641,5076,10706
Cisplatin,AZD7762,HCC70,breast,5214,13743,14290,13800,14290,8249,6268,4455,5214,4667,6108
Cisplatin,AZD7762,JIMT.1,breast,6711,12858,13622,12866,13622,9050,7820,5738,6711,6006,10087
Cisplatin,AZD7762,MCF7,breast,9226,7445,8829,8045,8829,9834,16189,9043,9226,8912,9629
Cisplatin,AZD7762,MDA.MB.157,breast,2333,17367,17359,17271,17359,6353,1336,1359,2333,2469,3111
Cisplatin,AZD7762,MDA.MB.231,breast,3675,16084,16304,16007,16304,7089,2848,2622,3675,3536,5007
Cisplatin,AZD7762,MDA.MB.361,breast,8849,9220,10378,9575,10378,10092,14482,8957,8849,8292,10491
Cisplatin,AZD7762,MDA.MB.415,breast,4162,16775,16973,16656,16973,9125,1917,2174,4162,3537,4649
Cisplatin,AZD7762,MDA.MB.436,breast,8019,12148,13091,12138,13091,10961,9090,6028,8019,6402,18416
Cisplatin,AZD7762,MDA.MB.453,breast,4086,16005,16231,15906,16231,8001,2941,2944,4086,3507,6112
Cisplatin,AZD7762,MDA.MB.468,breast,3003,16893,17018,16762,17018,6718,1876,2356,3003,2656,4496
Cisplatin,AZD7762,MFM.223,breast,3619,16309,16533,16235,16533,7760,2547,2096,3619,2914,4833
Cisplatin,AZD7762,OCUB.M,breast,3592,15400,15723,15407,15723,6863,3800,2502,3592,3139,4173
Cisplatin,AZD7762,T47D,breast,6738,13695,14347,13557,14347,9548,6162,5756,6738,6035,9780
Cisplatin,AZD7762,UACC.893,breast,6358,12741,13460,12761,13460,8418,8196,6237,6358,5655,8055
Cisplatin,PD173074,AU565,breast,11363,4732,6240,5452,6240,11589,17419,10274,11363,10850,18414
Cisplatin,Alisertib,AU565,breast,12408,4349,6216,4940,6216,12798,17452,12186,12408,12148,18412
Cisplatin,PD173074,BT.549,breast,10390,5496,6847,6346,6847,10500,17203,9532,10390,10763,10291
Cisplatin,PD173074,CAL.120,breast,13419,3318,5056,3789,5056,13932,17732,14480,13419,13225,18410
Cisplatin,PD173074,CAL.51,breast,4141,13622,14000,13789,14000,6558,6932,3738,4141,3876,3491
Cisplatin,PD173074,CAMA.1,breast,14887,709,1867,1411,1867,14350,18251,14753,14887,14501,18408
Cisplatin,PD173074,COLO.824,breast,10384,7389,8859,7835,8859,11317,16128,10677,10384,9861,18406
Cisplatin,PD173074,DU.4475,breast,2925,15007,15226,15132,15226,6062,4613,2461,2925,2226,2332
Cisplatin,PD173074,EFM.19,breast,15542,499,1415,1011,1415,15365,18342,15202,15542,15116,18404
Cisplatin,PD173074,EVSA.T,breast,10027,5619,7104,6483,7104,10024,17104,9580,10027,10530,8603
Cisplatin,PD173074,HCC1143,breast,8307,8919,9795,9366,9795,9334,15171,7377,8307,8193,9369
Cisplatin,PD173074,HCC1187,breast,11058,5180,6941,5966,6941,11552,17163,10476,11058,10882,18402
Cisplatin,PD173074,HCC1395,breast,10406,6666,7765,7312,7765,11311,16841,10300,10406,10004,18400
Cisplatin,PD173074,HCC1419,breast,16820,294,490,304,490,16559,18408,16661,16820,16680,18398
Cisplatin,PD173074,HCC1428,breast,12585,3427,4946,3998,4946,13015,17727,12181,12585,12532,18396
Cisplatin,PD173074,HCC1806,breast,11703,4665,6288,5369,6288,12512,17379,11630,11703,12060,18394
Cisplatin,PD173074,HCC1937,breast,9654,7170,8267,7767,8267,10402,16495,9159,9654,9342,11411
Cisplatin,PD173074,HCC1954,breast,15648,521,1663,1033,1663,15415,18302,15225,15648,15555,18392
Cisplatin,PD173074,HCC202,breast,16046,365,680,456,680,15457,18387,15830,16046,16176,18390
Cisplatin,PD173074,HCC38,breast,12984,2746,4019,3356,4019,12865,17856,13198,12984,12881,18388
Cisplatin,PD173074,HCC70,breast,7190,10351,11242,10635,11242,8372,13103,6715,7190,7074,7576
Cisplatin,PD173074,Hs.578.T,breast,3406,14758,15110,14865,15110,6249,4858,3311,3406,3059,3167
Cisplatin,PD173074,JIMT.1,breast,13529,2102,3520,2801,3520,13351,17956,12684,13529,13354,18386
Cisplatin,PD173074,MCF7,breast,11261,4845,6375,5571,6375,11411,17399,11551,11261,11459,18384
Cisplatin,PD173074,MDA.MB.157,breast,11745,4296,5657,4990,5657,11889,17537,11288,11745,11415,18383
Cisplatin,PD173074,MDA.MB.231,breast,9629,6505,7687,7246,7687,9848,16871,9056,9629,9637,8891
Cisplatin,PD173074,MDA.MB.361,breast,16405,329,615,359,615,16098,18394,15856,16405,16510,18381
Cisplatin,PD173074,MDA.MB.415,breast,14957,1450,3193,2059,3193,14875,18007,14979,14957,14554,18379
Cisplatin,PD173074,MDA.MB.436,breast,12928,3340,4608,3888,4608,13082,17768,13292,12928,12355,18377
Cisplatin,PD173074,MDA.MB.453,breast,9686,6197,7551,7057,7551,9885,16922,9389,9686,10000,8990
Cisplatin,PD173074,MDA.MB.468,breast,12444,3333,4863,3923,4863,12459,17712,11790,12444,13249,18375
Cisplatin,PD173074,MFM.223,breast,12978,2787,4337,3397,4337,13100,17806,12830,12978,12729,18373
Cisplatin,PD173074,OCUB.M,breast,10902,4586,5972,5377,5972,10783,17478,10015,10902,10982,10971
Cisplatin,PD173074,T47D,breast,12003,3809,5293,4460,5293,12156,17597,11522,12003,11872,18371
Cisplatin,PD173074,UACC.893,breast,7952,9614,10422,9983,10422,9198,14347,7615,7952,7031,9943
Cisplatin,RO-3306,MFM.223,breast,16594,326,679,344,679,16471,18379,16550,16594,16853,18369
Cisplatin,RO-3306,OCUB.M,breast,15415,560,1813,1142,1813,15265,18246,14907,15415,15164,18367
Cisplatin,RO-3306,T47D,breast,16892,283,608,289,608,16600,18388,16717,16892,16789,18365
Cisplatin,RO-3306,UACC.893,breast,12577,3426,5040,3999,5040,12625,17699,12848,12577,12407,18363
Cisplatin,Alisertib,BT.549,breast,10941,5688,7316,6439,7316,11662,17025,11019,10941,10714,18361
Cisplatin,Alisertib,CAL.120,breast,16438,342,758,375,758,16470,18374,15757,16438,16177,18359
Cisplatin,Alisertib,CAL.51,breast,4165,14052,14294,14125,14294,6628,6298,3895,4165,3971,4221
Cisplatin,Alisertib,CAMA.1,breast,13137,2667,4234,3286,4234,13137,17819,12617,13137,13398,18357
Cisplatin,Alisertib,COLO.824,breast,11483,4991,6718,5725,6718,12071,17247,11440,11483,10833,18355
Cisplatin,Alisertib,DU.4475,breast,3024,14928,15152,15046,15152,6072,4755,2842,3024,2721,1988
Cisplatin,Alisertib,EFM.19,breast,14947,1214,2818,1906,2818,15183,18029,14740,14947,14555,18353
Cisplatin,Alisertib,EVSA.T,breast,7337,10197,10945,10505,10945,8694,13503,6918,7337,7052,8152
Cisplatin,Alisertib,HCC1143,breast,11734,5511,7181,6190,7181,12748,17075,12263,11734,11223,18351
Cisplatin,Alisertib,HCC1187,breast,9525,7593,8883,8120,8883,10573,16058,8840,9525,8988,18349
Cisplatin,Alisertib,HCC1395,breast,13008,4244,5756,4721,5756,13700,17503,12182,13008,12513,18347
Cisplatin,Alisertib,HCC1419,breast,16788,323,478,340,478,16782,18398,16567,16788,16404,18345
Cisplatin,Alisertib,HCC1428,breast,13304,3416,5396,3924,5396,14002,17608,14141,13304,13032,18343
