Drug1,Drug2,Cell_Line,Tissue,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,BIRRA,RRA
Cisplatin,Nilotinib,AU565,breast,9897,7088,8091,7748,8091,11306,16863,8963,9897,9363,18658
Cisplatin,Olaparib,HCC1187,breast,14971,1567,2074,2013,2074,14789,18435,14940,14971,14732,18657
Cisplatin,Olaparib,HCC1395,breast,17993,166,139,166,139,17709,18658,17386,17993,18436,18655
Cisplatin,Nilotinib,BT.549,breast,13391,2710,3381,3161,3381,13312,18180,13094,13391,13307,18653
Cisplatin,Nilotinib,CAL.120,breast,17347,315,399,386,399,16988,18630,16780,17347,17828,18651
Cisplatin,Nilotinib,CAL.51,breast,4821,13390,13705,13536,13705,7705,9461,4576,4821,4942,4604
Cisplatin,Nilotinib,CAMA.1,breast,17363,332,404,416,404,17087,18626,17233,17363,17204,18649
Cisplatin,Nilotinib,COLO.824,breast,16297,902,1725,1304,1725,16559,18479,16044,16297,15905,18647
Cisplatin,Nilotinib,DU.4475,breast,4876,12579,12962,12877,12962,7597,11360,4474,4876,5267,3398
Cisplatin,Nilotinib,EFM.19,breast,17949,204,185,209,185,17888,18653,18087,17949,17829,18645
Cisplatin,Nilotinib,EVSA.T,breast,9575,7113,8219,7792,8219,10635,16783,9448,9575,9598,9010
Cisplatin,Nilotinib,HCC1143,breast,13711,2393,3234,2822,3234,13573,18168,13281,13711,13741,18643
Cisplatin,Nilotinib,HCC1187,breast,11443,5452,7074,6235,7074,12150,17308,11102,11443,11055,18641
Cisplatin,Nilotinib,HCC1395,breast,17721,244,314,247,314,17464,18640,17421,17721,18020,18639
Cisplatin,Nilotinib,HCC1419,breast,17726,283,332,317,332,17701,18636,17636,17726,17624,18637
Cisplatin,Nilotinib,HCC1428,breast,17272,362,496,469,496,16924,18616,16908,17272,17830,18635
Cisplatin,Nilotinib,HCC1806,breast,12957,4244,5616,4777,5616,13810,17749,14087,12957,12161,18633
Cisplatin,Nilotinib,HCC1937,breast,12215,4133,5437,4734,5437,12681,17802,11564,12215,12173,18631
Cisplatin,Nilotinib,HCC1954,breast,18017,170,164,171,164,17867,18649,17865,18017,18021,18629
Cisplatin,Nilotinib,HCC38,breast,14497,1755,2171,2209,2171,14221,18402,14174,14497,14322,18627
Cisplatin,Nilotinib,HCC70,breast,12070,4372,5570,4987,5570,12474,17775,11696,12070,12076,18625
Cisplatin,Nilotinib,Hs.578.T,breast,11499,4823,6302,5509,6302,11906,17631,11879,11499,11639,10710
Cisplatin,Nilotinib,JIMT.1,breast,16824,489,690,624,690,16585,18604,16604,16824,16844,18623
Cisplatin,Nilotinib,MCF7,breast,10816,5559,6976,6403,6976,11613,17272,10706,10816,10863,11775
Cisplatin,Nilotinib,MDA.MB.157,breast,13592,2891,3900,3325,3900,13793,18025,14371,13592,13053,18621
Cisplatin,Nilotinib,MDA.MB.231,breast,11825,4918,6331,5607,6331,12739,17630,11889,11825,11439,18619
Cisplatin,Nilotinib,MDA.MB.361,breast,17738,246,252,248,252,17530,18633,17322,17738,17831,18617
Cisplatin,Nilotinib,MDA.MB.415,breast,17762,239,274,242,274,17534,18632,17349,17762,17832,18615
Cisplatin,Nilotinib,MDA.MB.436,breast,14795,1763,2296,2190,2296,14846,18364,14222,14795,14436,18613
Cisplatin,Nilotinib,MDA.MB.453,breast,11850,4564,6088,5234,6088,12394,17648,10792,11850,11511,18611
Cisplatin,Nilotinib,MDA.MB.468,breast,11450,5345,6794,6130,6794,12166,17429,10880,11450,10397,18609
Cisplatin,Nilotinib,MFM.223,breast,16560,606,893,767,893,16439,18558,16068,16560,16677,18607
Cisplatin,Nilotinib,OCUB.M,breast,13507,3027,4327,3444,4327,13891,17958,13226,13507,13369,18605
Cisplatin,Nilotinib,T47D,breast,15740,802,1125,1171,1125,15318,18529,14897,15740,15757,18603
