Drug1,Drug2,Cell_Line,Tissue,SynergyRank,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,Borda,Markov,MC1,MC2,MC3,BMARC,BMARCW,CEMC_k,CEMC_s,RankBoost,BIRRA,RRA
5-Fluorouracil,915019-65-7,MDA.MB.436,breast,1221.5,8.553199,9.656923,9.892199,8.980096,10.241964,6.127492,7.403949,8.976062,8.418761,6.255761,5.592753,4.8422227,6.6897182,9.56938,6.5051994,6.7037854,5.645373,9.1312,8.649933,9.422822,7.9350247,9.061152,7.021099,3.7384188,7.698451,300,251,345,281,345,251,259,359,300,342,1,288
5-Fluorouracil,Bortezomib,MDA.MB.436,breast,3145.5,-0.42377043,-4.2528524,-5.0864844,-2.6881607,-2.225058,-6.4838147,-2.05062,-2.989639,-2.5191991,-1.6556234,0.6598709,-0.88901263,-0.77109575,-0.9429531,-4.4326453,-2.4232063,-2.3562634,-3.9116683,-2.0362096,-2.5888066,-3.1472998,-4.171982,-1.382993,-3.0746574,-0.28384382,2919,2708,2841,2782,2841,2708,2717,2925,2919,2845,2980,2422
Veliparib,Dinaciclib,MDA.MB.436,breast,2265.5,1.601594,-4.6587048,-2.9397776,2.14464,-1.8098032,1.7510682,1.5932537,-1.6795081,-0.34241518,-1.0822881,0.3401028,2.2398875,3.3416224,-1.4749538,2.4014544,1.9578897,-0.41855922,4.102827,1.2231973,1.7939032,5.130045,3.8226526,-0.315811,1.0938737,-2.5292187,1879,1774,1869,1826,1869,1774,1768,1695,1879,1884,1984,1918
Veliparib,geldanamycin,MDA.MB.436,breast,1201.5,-6.09e-5,-1.9918085,-2.5288832,0.45000172,0.69318587,2.2119372,2.1056151,-0.2641316,2.2315798,2.6987374,3.5202732,2.0134516,-0.008445434,1.3808964,1.2073643,2.7292411,4.1351724,1.589752,1.8340263,-3.7862222,0.81104326,1.2920638,2.1452718,3.0036871,0.30717194,1728,1528,1746,1647,1746,1528,1517,1693,1728,1746,1766,1771
Veliparib,topotecan,MDA.MB.436,breast,2635.5,6.079612,5.6515346,7.5440454,-0.68378526,8.37588,2.4537723,5.714355,2.5276673,4.7094145,0.5267051,4.780819,5.8225093,1.6540283,1.6198746,2.5958097,7.6338854,10.584072,7.153817,5.886733,-0.7041364,5.2522793,3.539673,4.435772,4.310525,5.1391654,896,959,873,900,873,959,936,817,896,868,901,1094
MK-1775,Dinaciclib,MDA.MB.436,breast,2895.5,-1.9771775,0.21220042,-1.7168772,-1.3060324,0.3621384,-2.2775466,-0.084950045,-0.9341713,0.31412894,-0.51247454,-1.0580262,-0.39977202,-1.4725138,2.9252405,1.1510181,0.057372108,-0.8145031,0.8017704,-0.6741228,-1.5141971,0.3137436,-1.6514769,0.711913,0.7195082,-1.5428802,2316,1953,2274,2143,2274,1953,2008,2279,2316,2277,2338,1424
MK-1775,Lapatinib,MDA.MB.436,breast,2507.5,-5.3532844,-4.6730413,-3.5955968,-1.7230265,-0.27947816,-1.8121668,-2.0508208,-5.943159,-1.524274,-2.4678364,-0.52771527,0.33440483,-3.6820874,1.7729568,1.0658362,-1.00983,-0.78102505,-6.7114735,-2.7647657,-4.1478944,-6.9550567,4.254007,-1.0686152,-1.244721,-1.2117538,2764,2598,2746,2722,2746,2598,2597,2705,2764,2743,2781,2679
MK-1775,Deforolimus,MDA.MB.436,breast,499.5,5.490118,9.296439,4.5890636,8.333957,11.593085,7.3518214,8.336172,7.9300537,11.431912,11.931553,7.5925083,8.9055,9.862406,10.94748,6.4451046,8.462686,7.6315117,7.1071467,9.4461355,7.124752,5.36757,5.488678,9.4810915,8.542751,8.654059,256,213,289,236,289,213,208,288,256,291,2,206
MK-1775,391210-10-9,MDA.MB.436,breast,943.5,1.9745575,-0.87264425,2.1055965,4.8734345,4.3187366,-1.6884509,6.276339,1.4790899,1.4909892,7.050977,-0.8030707,1.1131922,3.8086543,2.6319265,1.4279525,3.566802,2.416522,2.0026228,3.3659835,3.411068,1.4327476,-1.177385,-0.2668977,2.470862,-2.812269,1519,1458,1535,1478,1535,1458,1452,1478,1519,1525,1653,1492
915019-65-7,Sorafenib,MDA.MB.436,breast,1523.5,-4.7478156,-1.6308229,-5.865081,-5.629613,-4.394303,-3.7345042,-5.6804338,-6.214274,-0.74366623,0.61071855,2.346226,-9.937398,-0.5962542,-1.2529026,-5.285776,-0.953241,-4.3611455,-5.885189,-0.4799364,-1.0014555,1.1260097,-0.32574308,-1.0750693,-1.3156345,-3.3219893,2952,2886,2920,2898,2920,2886,2880,2637,2952,2931,3008,2861
